Question,Answer
What is this research paper about?,"Thus, we provide the means to unify learning and memory within a machine
learning framework."
What is this research paper about?,"We also explore the elegant duality of abstraction and
synthesis: the Yin and Yang of deep learning."
Who are the authors of this paper?,Andrew J. R. Simpson
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2015-09-03 00:00:00
What is the title of the research paper?,"An Aggregate and Iterative Disaggregate Algorithm with Proven Optimality
  in Machine Learning"
What is this research paper about?,"We propose a clustering-based iterative algorithm to solve certain
optimization problems in machine learning, where we start the algorithm by
aggregating the original data, solving the problem on aggregated data, and then
in subsequent steps gradually disaggregate the aggregated data."
What is this research paper about?,"We apply the
algorithm to common machine learning problems such as the least absolute
deviation regression problem, support vector machines, and semi-supervised
support vector machines."
What is this research paper about?,"We derive model-specific data aggregation and
disaggregation procedures."
What is this research paper about?,"We also show optimality, convergence, and the
optimality gap of the approximated solution in each iteration."
What is this research paper about?,"A computational
study is provided."
Who are the authors of this paper?,"Young Woong Park, Diego Klabjan"
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2016-07-05 00:00:00
What is the title of the research paper?,Human-in-the-loop Machine Learning: A Macro-Micro Perspective
What is this research paper about?,"Though technical advance of artificial intelligence and machine learning has
enabled many promising intelligent systems, many computing tasks are still not
able to be fully accomplished by machine intelligence."
What is this research paper about?,"Motivated by the
complementary nature of human and machine intelligence, an emerging trend is to
involve humans in the loop of machine learning and decision-making."
What is this research paper about?,"In this
paper, we provide a macro-micro review of human-in-the-loop machine learning."
What is this research paper about?,"We first describe major machine learning challenges which can be addressed by
human intervention in the loop."
What is this research paper about?,"Then we examine closely the latest research and
findings of introducing humans into each step of the lifecycle of machine
learning."
What is this research paper about?,"Finally, we analyze current research gaps and point out future
research directions."
Who are the authors of this paper?,"Jiangtao Wang, Bin Guo, Liming Chen"
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2022-02-21 00:00:00
What is the title of the research paper?,Can Machines Learn the True Probabilities?
What is this research paper about?,"When there exists uncertainty, AI machines are designed to make decisions so
as to reach the best expected outcomes."
What is this research paper about?,"Expectations are based on true facts
about the objective environment the machines interact with, and those facts can
be encoded into AI models in the form of true objective probability functions."
What is this research paper about?,"Accordingly, AI models involve probabilistic machine learning in which the
probabilities should be objectively interpreted."
What is this research paper about?,"We prove under some basic
assumptions when machines can learn the true objective probabilities, if any,
and when machines cannot learn them."
Who are the authors of this paper?,Jinsook Kim
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2024-07-08 00:00:00
What is the title of the research paper?,Scientific Machine Learning Benchmarks
What is this research paper about?,"The breakthrough in Deep Learning neural networks has transformed the use of
AI and machine learning technologies for the analysis of very large
experimental datasets."
What is this research paper about?,"These datasets are typically generated by large-scale
experimental facilities at national laboratories."
What is this research paper about?,"In the context of science,
scientific machine learning focuses on training machines to identify patterns,
trends, and anomalies to extract meaningful scientific insights from such
datasets."
What is this research paper about?,"With a new generation of experimental facilities, the rate of data
generation and the scale of data volumes will increasingly require the use of
more automated data analysis."
What is this research paper about?,"At present, identifying the most appropriate
machine learning algorithm for the analysis of any given scientific dataset is
still a challenge for scientists."
What is this research paper about?,"This is due to many different machine
learning frameworks, computer architectures, and machine learning models."
What is this research paper about?,"Historically, for modelling and simulation on HPC systems such problems have
been addressed through benchmarking computer applications, algorithms, and
architectures."
What is this research paper about?,"Extending such a benchmarking approach and identifying metrics
for the application of machine learning methods to scientific datasets is a new
challenge for both scientists and computer scientists."
What is this research paper about?,"In this paper, we
describe our approach to the development of scientific machine learning
benchmarks and review other approaches to benchmarking scientific machine
learning."
Who are the authors of this paper?,"Jeyan Thiyagalingam, Mallikarjun Shankar, Geoffrey Fox, Tony Hey"
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2021-10-25 00:00:00
What is the title of the research paper?,Some Insights into Lifelong Reinforcement Learning Systems
What is this research paper about?,"A lifelong reinforcement learning system is a learning system that has the
ability to learn through trail-and-error interaction with the environment over
its lifetime."
What is this research paper about?,"In this paper, I give some arguments to show that the traditional
reinforcement learning paradigm fails to model this type of learning system."
What is this research paper about?,"Some insights into lifelong reinforcement learning are provided, along with a
simplistic prototype lifelong reinforcement learning system."
Who are the authors of this paper?,Changjian Li
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2020-01-27 00:00:00
What is the title of the research paper?,Towards A Rigorous Science of Interpretable Machine Learning
What is this research paper about?,"As machine learning systems become ubiquitous, there has been a surge of
interest in interpretable machine learning: systems that provide explanation
for their outputs."
What is this research paper about?,"These explanations are often used to qualitatively assess
other criteria such as safety or non-discrimination."
What is this research paper about?,"However, despite the
interest in interpretability, there is very little consensus on what
interpretable machine learning is and how it should be measured."
What is this research paper about?,"In this
position paper, we first define interpretability and describe when
interpretability is needed (and when it is not)."
What is this research paper about?,"Next, we suggest a taxonomy
for rigorous evaluation and expose open questions towards a more rigorous
science of interpretable machine learning."
Who are the authors of this paper?,"Finale Doshi-Velez, Been Kim"
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2017-02-28 00:00:00
What is the title of the research paper?,Infrastructure for Usable Machine Learning: The Stanford DAWN Project
What is this research paper about?,"Despite incredible recent advances in machine learning, building machine
learning applications remains prohibitively time-consuming and expensive for
all but the best-trained, best-funded engineering organizations."
What is this research paper about?,"This expense
comes not from a need for new and improved statistical models but instead from
a lack of systems and tools for supporting end-to-end machine learning
application development, from data preparation and labeling to
productionization and monitoring."
What is this research paper about?,"In this document, we outline opportunities
for infrastructure supporting usable, end-to-end machine learning applications
in the context of the nascent DAWN (Data Analytics for What's Next) project at
Stanford."
Who are the authors of this paper?,"Peter Bailis, Kunle Olukotun, Christopher Re, Matei Zaharia"
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2017-05-22 00:00:00
What is the title of the research paper?,Techniques for Interpretable Machine Learning
What is this research paper about?,"Interpretable machine learning tackles the important problem that humans
cannot understand the behaviors of complex machine learning models and how
these models arrive at a particular decision."
What is this research paper about?,"Although many approaches have
been proposed, a comprehensive understanding of the achievements and challenges
is still lacking."
What is this research paper about?,"We provide a survey covering existing techniques to increase
the interpretability of machine learning models."
What is this research paper about?,"We also discuss crucial issues
that the community should consider in future work such as designing
user-friendly explanations and developing comprehensive evaluation metrics to
further push forward the area of interpretable machine learning."
Who are the authors of this paper?,"Mengnan Du, Ninghao Liu, Xia Hu"
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2018-07-31 00:00:00
What is the title of the research paper?,Solving machine learning optimization problems using quantum computers
What is this research paper about?,"Classical optimization algorithms in machine learning often take a long time
to compute when applied to a multi-dimensional problem and require a huge
amount of CPU and GPU resource."
What is this research paper about?,"Quantum parallelism has a potential to speed up
machine learning algorithms."
What is this research paper about?,"We describe a generic mathematical model to
leverage quantum parallelism to speed-up machine learning algorithms."
What is this research paper about?,"We also
apply quantum machine learning and quantum parallelism applied to a
$3$-dimensional image that vary with time."
Who are the authors of this paper?,"Venkat R. Dasari, Mee Seong Im, Lubjana Beshaj"
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2019-11-17 00:00:00
What is the title of the research paper?,Lale: Consistent Automated Machine Learning
What is this research paper about?,"Automated machine learning makes it easier for data scientists to develop
pipelines by searching over possible choices for hyperparameters, algorithms,
and even pipeline topologies."
What is this research paper about?,"Unfortunately, the syntax for automated machine
learning tools is inconsistent with manual machine learning, with each other,
and with error checks."
What is this research paper about?,"Furthermore, few tools support advanced features such as
topology search or higher-order operators."
What is this research paper about?,"This paper introduces Lale, a
library of high-level Python interfaces that simplifies and unifies automated
machine learning in a consistent way."
Who are the authors of this paper?,"Guillaume Baudart, Martin Hirzel, Kiran Kate, Parikshit Ram, Avraham Shinnar"
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2020-07-04 00:00:00
What is the title of the research paper?,Differential Replication in Machine Learning
What is this research paper about?,"When deployed in the wild, machine learning models are usually confronted
with data and requirements that constantly vary, either because of changes in
the generating distribution or because external constraints change the
environment where the model operates."
What is this research paper about?,"To survive in such an ecosystem, machine
learning models need to adapt to new conditions by evolving over time."
What is this research paper about?,"The idea
of model adaptability has been studied from different perspectives."
What is this research paper about?,"In this
paper, we propose a solution based on reusing the knowledge acquired by the
already deployed machine learning models and leveraging it to train future
generations."
What is this research paper about?,"This is the idea behind differential replication of machine
learning models."
Who are the authors of this paper?,"Irene Unceta, Jordi Nin, Oriol Pujol"
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2020-07-15 00:00:00
What is the title of the research paper?,mlr3proba: An R Package for Machine Learning in Survival Analysis
What is this research paper about?,"As machine learning has become increasingly popular over the last few
decades, so too has the number of machine learning interfaces for implementing
these models."
What is this research paper about?,"Whilst many R libraries exist for machine learning, very few
offer extended support for survival analysis."
What is this research paper about?,"This is problematic considering
its importance in fields like medicine, bioinformatics, economics, engineering,
and more."
What is this research paper about?,"mlr3proba provides a comprehensive machine learning interface for
survival analysis and connects with mlr3's general model tuning and
benchmarking facilities to provide a systematic infrastructure for survival
modeling and evaluation."
Who are the authors of this paper?,"Raphael Sonabend, Franz J. Király, Andreas Bender, Bernd Bischl, Michel Lang"
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2020-08-18 00:00:00
What is the title of the research paper?,Bayesian Optimization for Machine Learning : A Practical Guidebook
What is this research paper about?,"The engineering of machine learning systems is still a nascent field; relying
on a seemingly daunting collection of quickly evolving tools and best
practices."
What is this research paper about?,"It is our hope that this guidebook will serve as a useful resource
for machine learning practitioners looking to take advantage of Bayesian
optimization techniques."
What is this research paper about?,"We outline four example machine learning problems that
can be solved using open source machine learning libraries, and highlight the
benefits of using Bayesian optimization in the context of these common machine
learning applications."
Who are the authors of this paper?,"Ian Dewancker, Michael McCourt, Scott Clark"
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2016-12-14 00:00:00
What is the title of the research paper?,"Teaching Uncertainty Quantification in Machine Learning through Use
  Cases"
What is this research paper about?,"Uncertainty in machine learning is not generally taught as general knowledge
in Machine Learning course curricula."
What is this research paper about?,"In this paper we propose a short
curriculum for a course about uncertainty in machine learning, and complement
the course with a selection of use cases, aimed to trigger discussion and let
students play with the concepts of uncertainty in a programming setting."
What is this research paper about?,"Our
use cases cover the concept of output uncertainty, Bayesian neural networks and
weight distributions, sources of uncertainty, and out of distribution
detection."
What is this research paper about?,"We expect that this curriculum and set of use cases motivates the
community to adopt these important concepts into courses for safety in AI."
Who are the authors of this paper?,Matias Valdenegro-Toro
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2021-08-19 00:00:00
What is the title of the research paper?,"Introduction to Machine Learning for Physicians: A Survival Guide for
  Data Deluge"
What is this research paper about?,"Many modern research fields increasingly rely on collecting and analysing
massive, often unstructured, and unwieldy datasets."
What is this research paper about?,"Consequently, there is
growing interest in machine learning and artificial intelligence applications
that can harness this `data deluge'."
What is this research paper about?,"This broad nontechnical overview provides
a gentle introduction to machine learning with a specific focus on medical and
biological applications."
What is this research paper about?,"We explain the common types of machine learning
algorithms and typical tasks that can be solved, illustrating the basics with
concrete examples from healthcare."
What is this research paper about?,"Lastly, we provide an outlook on open
challenges, limitations, and potential impacts of machine-learning-powered
medicine."
Who are the authors of this paper?,"Ričards Marcinkevičs, Ece Ozkan, Julia E. Vogt"
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2022-12-23 00:00:00
What is the title of the research paper?,"Machine learning-assisted close-set X-ray diffraction phase
  identification of transition metals"
What is this research paper about?,"Machine learning has been applied to the problem of X-ray diffraction phase
prediction with promising results."
What is this research paper about?,"In this paper, we describe a method for
using machine learning to predict crystal structure phases from X-ray
diffraction data of transition metals and their oxides."
What is this research paper about?,"We evaluate the
performance of our method and compare the variety of its settings."
What is this research paper about?,"Our results
demonstrate that the proposed machine learning framework achieves competitive
performance."
What is this research paper about?,"This demonstrates the potential for machine learning to
significantly impact the field of X-ray diffraction and crystal structure
determination."
What is this research paper about?,"Open-source implementation:
https://github.com/maxnygma/NeuralXRD."
Who are the authors of this paper?,"Maksim Zhdanov, Andrey Zhdanov"
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2023-04-28 00:00:00
What is the title of the research paper?,Insights From Insurance for Fair Machine Learning
What is this research paper about?,"We argue that insurance can act as an analogon for the social situatedness of
machine learning systems, hence allowing machine learning scholars to take
insights from the rich and interdisciplinary insurance literature."
What is this research paper about?,"Tracing the
interaction of uncertainty, fairness and responsibility in insurance provides a
fresh perspective on fairness in machine learning."
What is this research paper about?,"We link insurance fairness
conceptions to their machine learning relatives, and use this bridge to
problematize fairness as calibration."
What is this research paper about?,"In this process, we bring to the
forefront two themes that have been largely overlooked in the machine learning
literature: responsibility and aggregate-individual tensions."
Who are the authors of this paper?,"Christian Fröhlich, Robert C. Williamson"
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2023-06-26 00:00:00
What is the title of the research paper?,Quantum Dynamics of Machine Learning
What is this research paper about?,"The quantum dynamic equation (QDE) of machine learning is obtained based on
Schr\""odinger equation and potential energy equivalence relationship."
What is this research paper about?,"Through
Wick rotation, the relationship between quantum dynamics and thermodynamics is
also established in this paper."
What is this research paper about?,"This equation reformulates the iterative
process of machine learning into a time-dependent partial differential equation
with a clear mathematical structure, offering a theoretical framework for
investigating machine learning iterations through quantum and mathematical
theories."
What is this research paper about?,"Within this framework, the fundamental iterative process, the
diffusion model, and the Softmax and Sigmoid functions are examined, validating
the proposed quantum dynamics equations."
What is this research paper about?,"This approach not only presents a
rigorous theoretical foundation for machine learning but also holds promise for
supporting the implementation of machine learning algorithms on quantum
computers."
Who are the authors of this paper?,"Peng Wang, Maimaitiniyazi Maimaitiabudula"
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2024-07-07 00:00:00
What is the title of the research paper?,"On the Conditions for Domain Stability for Machine Learning: a
  Mathematical Approach"
What is this research paper about?,"This work proposes a mathematical approach that (re)defines a property of
Machine Learning models named stability and determines sufficient conditions to
validate it."
What is this research paper about?,"Machine Learning models are represented as functions, and the
characteristics in scope depend upon the domain of the function, what allows us
to adopt topological and metric spaces theory as a basis."
What is this research paper about?,"Finally, this work
provides some equivalences useful to prove and test stability in Machine
Learning models."
What is this research paper about?,"The results suggest that whenever stability is aligned with
the notion of function smoothness, then the stability of Machine Learning
models primarily depends upon certain topological, measurable properties of the
classification sets within the ML model domain."
Who are the authors of this paper?,Gabriel Pedroza
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2024-11-30 00:00:00
What is the title of the research paper?,Distributed Multitask Learning
What is this research paper about?,"We consider the problem of distributed multi-task learning, where each
machine learns a separate, but related, task."
What is this research paper about?,"Specifically, each machine learns
a linear predictor in high-dimensional space,where all tasks share the same
small support."
What is this research paper about?,"We present a communication-efficient estimator based on the
debiased lasso and show that it is comparable with the optimal centralized
method."
Who are the authors of this paper?,"Jialei Wang, Mladen Kolar, Nathan Srebro"
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2015-10-02 00:00:00
What is the title of the research paper?,Distributed Stochastic Multi-Task Learning with Graph Regularization
What is this research paper about?,"We propose methods for distributed graph-based multi-task learning that are
based on weighted averaging of messages from other machines."
What is this research paper about?,"Uniform averaging
or diminishing stepsize in these methods would yield consensus (single task)
learning."
What is this research paper about?,"We show how simply skewing the averaging weights or controlling the
stepsize allows learning different, but related, tasks on the different
machines."
Who are the authors of this paper?,"Weiran Wang, Jialei Wang, Mladen Kolar, Nathan Srebro"
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2018-02-11 00:00:00
What is the title of the research paper?,Category Theory in Machine Learning
What is this research paper about?,"Over the past two decades machine learning has permeated almost every realm
of technology."
What is this research paper about?,"At the same time, many researchers have begun using category
theory as a unifying language, facilitating communication between different
scientific disciplines."
What is this research paper about?,"It is therefore unsurprising that there is a burgeoning
interest in applying category theory to machine learning."
What is this research paper about?,"We aim to document
the motivations, goals and common themes across these applications."
What is this research paper about?,"We touch on
gradient-based learning, probability, and equivariant learning."
Who are the authors of this paper?,"Dan Shiebler, Bruno Gavranović, Paul Wilson"
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2021-06-13 00:00:00
What is the title of the research paper?,Energy-Harvesting Distributed Machine Learning
What is this research paper about?,"This paper provides a first study of utilizing energy harvesting for
sustainable machine learning in distributed networks."
What is this research paper about?,"We consider a distributed
learning setup in which a machine learning model is trained over a large number
of devices that can harvest energy from the ambient environment, and develop a
practical learning framework with theoretical convergence guarantees."
What is this research paper about?,"We
demonstrate through numerical experiments that the proposed framework can
significantly outperform energy-agnostic benchmarks."
What is this research paper about?,"Our framework is scalable,
requires only local estimation of the energy statistics, and can be applied to
a wide range of distributed training settings, including machine learning in
wireless networks, edge computing, and mobile internet of things."
Who are the authors of this paper?,"Basak Guler, Aylin Yener"
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2021-02-10 00:00:00
What is the title of the research paper?,Representation Learning for Electronic Health Records
What is this research paper about?,"Information in electronic health records (EHR), such as clinical narratives,
examination reports, lab measurements, demographics, and other patient
encounter entries, can be transformed into appropriate data representations
that can be used for downstream clinical machine learning tasks using
representation learning."
What is this research paper about?,"Learning better representations is critical to improve
the performance of downstream tasks."
What is this research paper about?,"Due to the advances in machine learning,
we now can learn better and meaningful representations from EHR through
disentangling the underlying factors inside data and distilling large amounts
of information and knowledge from heterogeneous EHR sources."
What is this research paper about?,"In this chapter,
we first introduce the background of learning representations and reasons why
we need good EHR representations in machine learning for medicine and
healthcare in Section 1."
What is this research paper about?,"Next, we explain the commonly-used machine learning
and evaluation methods for representation learning using a deep learning
approach in Section 2."
What is this research paper about?,"Following that, we review recent related studies of
learning patient state representation from EHR for clinical machine learning
tasks in Section 3."
What is this research paper about?,"Finally, in Section 4 we discuss more techniques, studies,
and challenges for learning natural language representations when free texts,
such as clinical notes, examination reports, or biomedical literature are used."
What is this research paper about?,"We also discuss challenges and opportunities in these rapidly growing research
fields."
Who are the authors of this paper?,"Wei-Hung Weng, Peter Szolovits"
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2019-09-19 00:00:00
What is the title of the research paper?,Meta-Learning: A Survey
What is this research paper about?,"Meta-learning, or learning to learn, is the science of systematically
observing how different machine learning approaches perform on a wide range of
learning tasks, and then learning from this experience, or meta-data, to learn
new tasks much faster than otherwise possible."
What is this research paper about?,"Not only does this dramatically
speed up and improve the design of machine learning pipelines or neural
architectures, it also allows us to replace hand-engineered algorithms with
novel approaches learned in a data-driven way."
What is this research paper about?,"In this chapter, we provide an
overview of the state of the art in this fascinating and continuously evolving
field."
Who are the authors of this paper?,Joaquin Vanschoren
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2018-10-08 00:00:00
What is the title of the research paper?,Introduction to intelligent computing unit 1
What is this research paper about?,"This brief note highlights some basic concepts required toward understanding
the evolution of machine learning and deep learning models."
What is this research paper about?,"The note starts
with an overview of artificial intelligence and its relationship to biological
neuron that ultimately led to the evolution of todays intelligent models."
Who are the authors of this paper?,Isa Inuwa-Dutse
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2017-11-15 00:00:00
What is the title of the research paper?,"In-Machine-Learning Database: Reimagining Deep Learning with Old-School
  SQL"
What is this research paper about?,"In-database machine learning has been very popular, almost being a cliche."
What is this research paper about?,"However, can we do it the other way around?"
What is this research paper about?,"In this work, we say ""yes"" by
applying plain old SQL to deep learning, in a sense implementing deep learning
algorithms with SQL."
What is this research paper about?,"Most deep learning frameworks, as well as generic machine
learning ones, share a de facto standard of multidimensional array operations,
underneath fancier infrastructure such as automatic differentiation."
What is this research paper about?,"As SQL
tables can be regarded as generalisations of (multi-dimensional) arrays, we
have found a way to express common deep learning operations in SQL, encouraging
a different way of thinking and thus potentially novel models."
What is this research paper about?,"In particular,
one of the latest trend in deep learning was the introduction of sparsity in
the name of graph convolutional networks, whereas we take sparsity almost for
granted in the database world."
What is this research paper about?,"As both databases and machine learning involve
transformation of datasets, we hope this work can inspire further works
utilizing the large body of existing wisdom, algorithms and technologies in the
database field to advance the state of the art in machine learning, rather than
merely integerating machine learning into databases."
Who are the authors of this paper?,Len Du
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2020-04-11 00:00:00
What is the title of the research paper?,Machine Learning Interpretability: A Science rather than a tool
What is this research paper about?,"The term ""interpretability"" is oftenly used by machine learning researchers
each with their own intuitive understanding of it."
What is this research paper about?,"There is no universal well
agreed upon definition of interpretability in machine learning."
What is this research paper about?,"As any type of
science discipline is mainly driven by the set of formulated questions rather
than by different tools in that discipline, e.g."
What is this research paper about?,"astrophysics is the discipline
that learns the composition of stars, not as the discipline that use the
spectroscopes."
What is this research paper about?,"Similarly, we propose that machine learning interpretability
should be a discipline that answers specific questions related to
interpretability."
What is this research paper about?,"These questions can be of statistical, causal and
counterfactual nature."
What is this research paper about?,"Therefore, there is a need to look into the
interpretability problem of machine learning in the context of questions that
need to be addressed rather than different tools."
What is this research paper about?,"We discuss about a
hypothetical interpretability framework driven by a question based scientific
approach rather than some specific machine learning model."
What is this research paper about?,"Using a question
based notion of interpretability, we can step towards understanding the science
of machine learning rather than its engineering."
What is this research paper about?,"This notion will also help us
understanding any specific problem more in depth rather than relying solely on
machine learning methods."
Who are the authors of this paper?,"Abdul Karim, Avinash Mishra, MA Hakim Newton, Abdul Sattar"
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2018-07-18 00:00:00
What is the title of the research paper?,Automated Machine Learning on Graphs: A Survey
What is this research paper about?,"Machine learning on graphs has been extensively studied in both academic and
industry."
What is this research paper about?,"However, as the literature on graph learning booms with a vast number
of emerging methods and techniques, it becomes increasingly difficult to
manually design the optimal machine learning algorithm for different
graph-related tasks."
What is this research paper about?,"To solve this critical challenge, automated machine
learning (AutoML) on graphs which combines the strength of graph machine
learning and AutoML together, is gaining attention from the research community."
What is this research paper about?,"Therefore, we comprehensively survey AutoML on graphs in this paper, primarily
focusing on hyper-parameter optimization (HPO) and neural architecture search
(NAS) for graph machine learning."
What is this research paper about?,"We further overview libraries related to
automated graph machine learning and in-depth discuss AutoGL, the first
dedicated open-source library for AutoML on graphs."
What is this research paper about?,"In the end, we share our
insights on future research directions for automated graph machine learning."
What is this research paper about?,"This paper is the first systematic and comprehensive review of automated
machine learning on graphs to the best of our knowledge."
Who are the authors of this paper?,"Ziwei Zhang, Xin Wang, Wenwu Zhu"
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2021-03-01 00:00:00
What is the title of the research paper?,Can Machine Learning be Moral?
What is this research paper about?,"The ethics of Machine Learning has become an unavoidable topic in the AI
Community."
What is this research paper about?,"The deployment of machine learning systems in multiple social
contexts has resulted in a closer ethical scrutiny of the design, development,
and application of these systems."
What is this research paper about?,"The AI/ML community has come to terms with
the imperative to think about the ethical implications of machine learning, not
only as a product but also as a practice (Birhane, 2021; Shen et al."
What is this research paper about?,2021).
What is this research paper about?,"The
critical question that is troubling many debates is what can constitute an
ethically accountable machine learning system."
What is this research paper about?,"In this paper we explore
possibilities for ethical evaluation of machine learning methodologies."
What is this research paper about?,"We
scrutinize techniques, methods and technical practices in machine learning from
a relational ethics perspective, taking into consideration how machine learning
systems are part of the world and how they relate to different forms of agency."
What is this research paper about?,"Taking a page from Phil Agre (1997) we use the notion of a critical technical
practice as a means of analysis of machine learning approaches."
What is this research paper about?,"Our radical
proposal is that supervised learning appears to be the only machine learning
method that is ethically defensible."
Who are the authors of this paper?,"Miguel Sicart, Irina Shklovski, Mirabelle Jones"
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2021-12-13 00:00:00
What is the title of the research paper?,Compressive Classification (Machine Learning without learning)
What is this research paper about?,"Compressive learning is a framework where (so far unsupervised) learning
tasks use not the entire dataset but a compressed summary (sketch) of it."
What is this research paper about?,"We
propose a compressive learning classification method, and a novel sketch
function for images."
Who are the authors of this paper?,"Vincent Schellekens, Laurent Jacques"
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2018-12-04 00:00:00
What is the title of the research paper?,A Survey on Resilient Machine Learning
What is this research paper about?,"Machine learning based system are increasingly being used for sensitive tasks
such as security surveillance, guiding autonomous vehicle, taking investment
decisions, detecting and blocking network intrusion and malware etc."
What is this research paper about?,"However,
recent research has shown that machine learning models are venerable to attacks
by adversaries at all phases of machine learning (eg, training data collection,
training, operation)."
What is this research paper about?,"All model classes of machine learning systems can be
misled by providing carefully crafted inputs making them wrongly classify
inputs."
What is this research paper about?,"Maliciously created input samples can affect the learning process of a
ML system by either slowing down the learning process, or affecting the
performance of the learned mode, or causing the system make error(s) only in
attacker's planned scenario."
What is this research paper about?,"Because of these developments, understanding
security of machine learning algorithms and systems is emerging as an important
research area among computer security and machine learning researchers and
practitioners."
What is this research paper about?,We present a survey of this emerging area in machine learning.
Who are the authors of this paper?,"Atul Kumar, Sameep Mehta"
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2017-07-11 00:00:00
What is the title of the research paper?,An Introduction to MM Algorithms for Machine Learning and Statistical
What is this research paper about?,"MM (majorization--minimization) algorithms are an increasingly popular tool
for solving optimization problems in machine learning and statistical
estimation."
What is this research paper about?,"This article introduces the MM algorithm framework in general and
via three popular example applications: Gaussian mixture regressions,
multinomial logistic regressions, and support vector machines."
What is this research paper about?,"Specific
algorithms for the three examples are derived and numerical demonstrations are
presented."
What is this research paper about?,"Theoretical and practical aspects of MM algorithm design are
discussed."
Who are the authors of this paper?,Hien D. Nguyen
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2016-11-12 00:00:00
What is the title of the research paper?,"Some Requests for Machine Learning Research from the East African Tech
  Scene"
What is this research paper about?,"Based on 46 in-depth interviews with scientists, engineers, and CEOs, this
document presents a list of concrete machine research problems, progress on
which would directly benefit tech ventures in East Africa."
Who are the authors of this paper?,Milan Cvitkovic
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2018-10-25 00:00:00
What is the title of the research paper?,Machine learning and deep learning
What is this research paper about?,"Today, intelligent systems that offer artificial intelligence capabilities
often rely on machine learning."
What is this research paper about?,"Machine learning describes the capacity of
systems to learn from problem-specific training data to automate the process of
analytical model building and solve associated tasks."
What is this research paper about?,"Deep learning is a
machine learning concept based on artificial neural networks."
What is this research paper about?,"For many
applications, deep learning models outperform shallow machine learning models
and traditional data analysis approaches."
What is this research paper about?,"In this article, we summarize the
fundamentals of machine learning and deep learning to generate a broader
understanding of the methodical underpinning of current intelligent systems."
What is this research paper about?,"In
particular, we provide a conceptual distinction between relevant terms and
concepts, explain the process of automated analytical model building through
machine learning and deep learning, and discuss the challenges that arise when
implementing such intelligent systems in the field of electronic markets and
networked business."
What is this research paper about?,"These naturally go beyond technological aspects and
highlight issues in human-machine interaction and artificial intelligence
servitization."
Who are the authors of this paper?,"Christian Janiesch, Patrick Zschech, Kai Heinrich"
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2021-04-12 00:00:00
What is the title of the research paper?,Application of Machine Learning Techniques in Aquaculture
What is this research paper about?,"In this paper we present applications of different machine learning
algorithms in aquaculture."
What is this research paper about?,"Machine learning algorithms learn models from
historical data."
What is this research paper about?,"In aquaculture historical data are obtained from farm
practices, yields, and environmental data sources."
What is this research paper about?,"Associations between these
different variables can be obtained by applying machine learning algorithms to
historical data."
What is this research paper about?,"In this paper we present applications of different machine
learning algorithms in aquaculture applications."
Who are the authors of this paper?,"Akhlaqur Rahman, Sumaira Tasnim"
What are the research categories of this paper?,No Categories Mentioned
When was this paper published?,2014-05-03 00:00:00
What is the title of the research paper?,Machine Learning as Ecology
What is this research paper about?,Machine learning methods have had spectacular success on numerous problems.
What is this research paper about?,"Here we show that a prominent class of learning algorithms - including Support
Vector Machines (SVMs) -- have a natural interpretation in terms of ecological
dynamics."
